"Size","Time","Standard Deviation","Standard Error","90%-CL","95%-CL"
"1","5.846023559570312e-06","1.26720315871e-06","1.27358709412e-07","5.63455828482e-06 - 6.05748883432e-06","5.59331624943e-06 - 6.09873086971e-06"
"2","1.2133121490478516e-05","1.05169081001e-06","1.05698903402e-07","1.19576199661e-05 - 1.23086230149e-05","1.19233919346e-05 - 1.23428510464e-05"
"3","2.2614002227783202e-05","5.85252055053e-06","5.88200446787e-07","2.1637359408e-05 - 2.35906450476e-05","2.14468849304e-05 - 2.37811195252e-05"
"4","3.346920013427734e-05","3.31046236126e-06","3.32713985906e-07","3.29167647746e-05 - 3.4021635494e-05","3.28090234034e-05 - 3.41293768651e-05"
"5","4.8544406890869144e-05","1.53475467304e-06","1.54248648355e-07","4.82882937993e-05 - 4.88005199824e-05","4.82383441081e-05 - 4.88504696737e-05"
"6","6.755352020263671e-05","4.82221483331e-06","4.84650826078e-07","6.67488102573e-05 - 6.8358230148e-05","6.6591867818e-05 - 6.85151725873e-05"
"7","8.998394012451172e-05","1.03495184686e-05","1.04016574307e-06","8.82568581239e-05 - 9.17110221251e-05","8.79200256247e-05 - 9.20478546243e-05"
"8","0.00011451482772827148","1.71525124611e-05","1.72389236501e-06","0.000111652492092 - 0.000117377163365","0.000111094251275 - 0.000117935404181"
"9","0.0001454615592956543","3.0800319771e-05","3.09554860919e-06","0.000140321737762 - 0.000150601380829","0.000139319319271 - 0.00015160379932"
"10","0.0001746058464050293","1.62683384852e-05","1.6350295369e-06","0.000171891057822 - 0.000177320634988","0.000171361593082 - 0.000177850099728"
"11","0.00020491361618041993","2.33368181543e-05","2.34543847329e-06","0.000201019270882 - 0.000208807961478","0.000200259757403 - 0.000209567474958"
"12","0.0002367877960205078","1.77798158067e-05","1.7869387234e-06","0.000233820778768 - 0.000239754813273","0.000233242121914 - 0.000240333470127"
"13","0.0002708864212036133","9.21156214115e-06","9.25796828947e-07","0.000269349236337 - 0.000272423606071","0.000269049439442 - 0.000272723402965"
"14","0.00032337427139282225","3.41744579731e-05","3.4346622579e-06","0.000317671388556 - 0.00032907715423","0.000316559156318 - 0.000330189386468"
"15","0.0004378533363342285","9.77898819104e-05","9.82825292696e-06","0.000421534592095 - 0.000454172080573","0.000418351950273 - 0.000457354722396"
"16","0.00040945053100585935","2.1437835001e-05","2.15458348533e-06","0.000405873079642 - 0.00041302798237","0.000405175369931 - 0.000413725692081"
"17","0.00045886039733886717","1.96355902529e-05","1.97345107291e-06","0.000455583696631 - 0.000462137098047","0.000454944642267 - 0.000462776152411"
"18","0.0005276989936828613","2.52134846073e-05","2.53405054848e-06","0.000523491478563 - 0.000531906508802","0.000522670887629 - 0.000532727099737"
"19","0.0005753684043884277","2.80358931443e-05","2.81771327946e-06","0.000570689898179 - 0.000580046910598","0.000569777449935 - 0.000580959358842"
"20","0.0006443452835083008","7.91020689137e-05","7.95005705235e-06","0.000631145079089 - 0.000657545487928","0.00062857064554 - 0.000660119921477"
"21","0.0006860733032226562","4.20979702853e-05","4.23100520823e-06","0.000679048179594 - 0.000693098426851","0.000677678070967 - 0.000694468535479"
"22","0.0007812666893005371","0.000124428139993","1.25054985975e-05","0.000760502670028 - 0.000802030708573","0.000756453066996 - 0.000806080311605"
"23","0.0008827352523803711","0.000134948775991","1.35628622994e-05","0.000860215595768 - 0.000905254908992","0.000855823591095 - 0.000909646913666"
"24","0.0009117746353149415","1.63002868124e-05","1.6382404646e-06","0.000909054515336 - 0.000914494755294","0.000908524010814 - 0.000915025259815"
"25","0.0010825037956237794","0.000162835174757","1.63655508285e-05","0.00105533057977 - 0.00110967701148","0.00105003099225 - 0.001114976599"
"26","0.0010889458656311035","8.23996730059e-05","8.28147873359e-06","0.00107519537158 - 0.00110269635968","0.00107251361514 - 0.00110537811612"
"27","0.0011855435371398925","6.32488448403e-05","6.35674808359e-06","0.00117498884884 - 0.00119609822544","0.00117293036984 - 0.00119815670444"
"28","0.0012569975852966308","4.84989436837e-05","4.87432724022e-06","0.00124890429546 - 0.00126509087514","0.00124732586256 - 0.00126666930803"
"29","0.0014241838455200195","0.000168291585382","1.69139407299e-05","0.00139610008792 - 0.00145226760312","0.00139062291761 - 0.00145774477343"
"30","0.0020480608940124513","0.000624630632381","6.27777406112e-05","0.00194382528871 - 0.00215229649932","0.00192349623691 - 0.00217262555111"
"31","0.0016131925582885743","0.000143662673781","1.44386419791e-05","0.00158921876484 - 0.00163716635174","0.00158454316012 - 0.00164184195646"
"32","0.0018638706207275391","0.000411715048497","4.13789192851e-05","0.0017951654291 - 0.00193257581235","0.00178176586765 - 0.00194597537381"
"33","0.0016665792465209962","3.98636865272e-05","4.00645124155e-06","0.00165992697031 - 0.00167323152273","0.00165862957805 - 0.00167452891499"
"34","0.001868605613708496","0.000292122170186","2.93593827713e-05","0.00181985755421 - 0.00191735367321","0.00181035022873 - 0.00192686099869"
"35","0.001950995922088623","5.63599862713e-05","5.66439174701e-06","0.00194159081613 - 0.00196040102805","0.00193975653996 - 0.00196223530421"
"36","0.0021778655052185057","0.000287273920001","2.88721152939e-05","0.00212992650033 - 0.00222580451011","0.00212057696463 - 0.00223515404581"
"37","0.00219437837600708","0.000124905242702","1.2553449224e-05","0.00217353473994 - 0.00221522201208","0.00216946960926 - 0.00221928714276"
"38","0.0024928689002990724","0.000451014427025","4.53286554387e-05","0.0024176056017 - 0.0025681321989","0.00240292701379 - 0.00258281078681"
"39","0.00244295597076416","0.000204106293963","2.05134543765e-05","0.00240889561254 - 0.00247701632899","0.00240225282686 - 0.00248365911467"
"40","0.002635619640350342","0.000274699973067","2.76083860783e-05","0.00258977892027 - 0.00268146036043","0.00258083861269 - 0.00269040066801"
"41","0.002666335105895996","0.000157736817248","1.58531466193e-05","0.00264001268145 - 0.00269265753034","0.00263487902364 - 0.00269779118815"
"42","0.002823209762573242","0.000132687091635","1.3335554469e-05","0.00280106752587 - 0.00284535199927","0.00279674912934 - 0.00284967039581"
"43","0.0030405831336975096","0.000201708184412","2.02724352981e-05","0.00300692296142 - 0.00307424330598","0.00300035822393 - 0.00308080804346"
