"Size","Time","Standard Deviation","Standard Error","90%-CL","95%-CL"
"1","7.867813110351562e-06","3.23113621875e-06","1.44500804594e-06","4.95605199889e-06 - 1.07795742218e-05","4.15330167371e-06 - 1.1582324547e-05"
"2","1.6530354817708332e-05","9.60471513766e-06","4.29535919047e-06","7.87499827093e-06 - 2.51857113645e-05","5.48878250096e-06 - 2.75719271345e-05"
"3","2.2093454996744793e-05","3.05531546064e-06","1.36637861254e-06","1.93401359971e-05 - 2.48467739964e-05","1.85810669534e-05 - 2.56058430401e-05"
"4","3.417332967122396e-05","3.57274481344e-06","1.59778005382e-06","3.09537255739e-05 - 3.73929337686e-05","3.0066105286e-05 - 3.82805540565e-05"
"5","5.0346056620279946e-05","4.41217542443e-06","1.97318483554e-06","4.63699937285e-05 - 5.43221195121e-05","4.52738235218e-05 - 5.54182897188e-05"
"6","6.794929504394531e-05","2.96189707972e-06","1.32460064252e-06","6.52801606748e-05 - 7.06184294131e-05","6.45443006915e-05 - 7.13542893964e-05"
"7","9.198983510335286e-05","5.61409803748e-06","2.51070096883e-06","8.69306512018e-05 - 9.70490190049e-05","8.55358727957e-05 - 9.8443797411e-05"
"8","0.00011968612670898438","1.26301853165e-05","5.64839058723e-06","0.000108304346448 - 0.00013106790697","0.000105166476459 - 0.000134205776959"
"9","0.0001389185587565104","3.33975178233e-06","1.49358240265e-06","0.000135908917967 - 0.000141928199546","0.000135079182961 - 0.000142757934552"
"10","0.00016979376475016275","4.11209656103e-06","1.8389854881e-06","0.000166088120035 - 0.000173499409465","0.000165066502057 - 0.000174521027444"
"11","0.00020221869150797525","3.51863786495e-06","1.57358269085e-06","0.000199047846268 - 0.000205389536748","0.000198173668424 - 0.000206263714591"
"12","0.00023885567982991537","2.17391321923e-06","9.72203547076e-07","0.000236896642654 - 0.000240814717005","0.00023635655105 - 0.00024135480861"
"13","0.0002861420313517253","1.80293513963e-05","8.06297106248e-06","0.000269894754633 - 0.00030238930807","0.000265415504389 - 0.000306868558314"
"14","0.00032015641530354816","3.17021012732e-06","1.41776106953e-06","0.000317299558168 - 0.00032301327244","0.00031651194445 - 0.000323800886158"
"15","0.00036295255025227863","4.53343731465e-06","2.02741480146e-06","0.000358867211356 - 0.000367037889149","0.000357740914588 - 0.000368164185916"
"16","0.00041083494822184247","2.63851091083e-06","1.1799779512e-06","0.000408457235571 - 0.000413212660872","0.000407801718333 - 0.000413868178111"
"17","0.0004661083221435547","7.209287943e-06","3.22409158198e-06","0.000459611621648 - 0.000472605022639","0.000457820530883 - 0.000474396113404"
"18","0.0005164941151936849","3.83862961951e-06","1.71668735394e-06","0.000513034907135 - 0.000519953323253","0.000512081229863 - 0.000520907000525"
"19","0.0005966822306315104","4.13417785607e-05","1.84886054345e-05","0.000559426796338 - 0.000633937664925","0.000549155757317 - 0.000644208703946"
"20","0.0006401538848876953","8.53769352846e-06","3.81817262014e-06","0.000632460082363 - 0.000647847687412","0.000630338959701 - 0.000649968810074"
"21","0.0007013082504272461","1.15460828025e-05","5.16356520407e-06","0.000690903416766 - 0.000711713084089","0.000688034883501 - 0.000714581617353"
"22","0.0007998943328857422","3.82397437542e-05","1.71013332953e-05","0.000765434319059 - 0.000834354346713","0.000755933956135 - 0.000843854709637"
"23","0.000834504763285319","6.1857510306e-06","2.76635195926e-06","0.000828930430272 - 0.000840079096299","0.000827393629185 - 0.000841615897385"
"24","0.0009357134501139323","4.80949366126e-05","2.15087095279e-05","0.000892372359982 - 0.000979054540246","0.000880423552073 - 0.000991003348155"
"25","0.0009775161743164062","6.93875895064e-06","3.10310733862e-06","0.000971263262923 - 0.000983769085709","0.000969539382955 - 0.000985492965678"
"26","0.0011063019434611003","8.53112646266e-05","3.81523573903e-05","0.00102942309779 - 0.00118318078913","0.00100822818653 - 0.00120437570039"
