"Size","Time","Standard Deviation","Standard Error","90%-CL","95%-CL"
"5","5.083084106445312e-05","4.67543636008e-06","2.33771818004e-06","4.58471840867e-05 - 5.58144980422e-05","4.43402948662e-05 - 5.73213872628e-05"
"25","0.0009942054748535156","2.66504624722e-05","1.33252312361e-05","0.000965798123532 - 0.00102261282617","0.000957208701812 - 0.00103120224789"
"45","0.0032587528228759767","8.45137064253e-05","4.22568532127e-05","0.00316866768637 - 0.00334883795939","0.00314142898961 - 0.00337607665614"
"65","0.006684637069702149","4.62469607986e-05","2.31234803993e-05","0.00663534135244 - 0.00673393278696","0.00662043599573 - 0.00674883814367"
"85","0.011328792572021485","0.000152430124978","7.62150624888e-05","0.0111663137364 - 0.0114912714077","0.0111171856348 - 0.0115403995092"
"105","0.01684279441833496","0.000361439150037","0.000180719575018","0.016457527974 - 0.0172280608627","0.0163410364389 - 0.0173445523978"
"125","0.02494964599609375","0.00174764950978","0.00087382475489","0.0230867855049 - 0.0268125064873","0.0225235195326 - 0.0273757724596"
"145","0.03114619255065918","0.000698981366923","0.000349490683461","0.030401131962 - 0.0318912531393","0.0301758508533 - 0.0321165342481"
"165","0.041190147399902344","0.000900171110973","0.000450085555487","0.0402306339571 - 0.0421496608427","0.0399405095625 - 0.0424397852374"
"185","0.052852821350097653","0.00167207285334","0.000836036426669","0.0510705197848 - 0.0546351229154","0.0505316121055 - 0.0551740305947"
"205","0.06464405059814453","0.00125011753451","0.000625058767257","0.063311521077 - 0.0659765801193","0.0629086092433 - 0.066379491953"
"225","0.07895903587341309","0.00111454548284","0.000557272741421","0.0777710157733 - 0.0801470559735","0.0774117986982 - 0.0805062730486"
"245","0.09357547760009766","0.00299687643101","0.0014984382155","0.0903810369133 - 0.0967699182868","0.0894151461512 - 0.097735809049"
"265","0.10844511985778808","0.000920763852826","0.000460381926413","0.10746365613 - 0.109426583586","0.107166894712 - 0.109723345004"
"285","0.14735794067382812","0.0201397824781","0.0100698912391","0.125890475447 - 0.1688254059","0.119399440433 - 0.175316440914"
"305","0.15194015502929686","0.00631109195226","0.00315554597613","0.145213014497 - 0.158667295562","0.14317895485 - 0.160701355209"
"325","0.18281750679016112","0.014034542418","0.00701727120901","0.167857759749 - 0.197777253831","0.16333443849 - 0.20230057509"
"345","0.18748316764831544","0.00471939843948","0.00235969921974","0.182452650462 - 0.192513684835","0.1809315923 - 0.194034742997"
"365","0.2101673126220703","0.00246823746452","0.00123411873226","0.207536360575 - 0.212798264669","0.206740849709 - 0.213593775535"
"385","0.2320457935333252","0.00289600371021","0.0014480018551","0.228958875439 - 0.235132711627","0.22802549587 - 0.236066091196"
"405","0.2573820114135742","0.00303047201673","0.00151523600837","0.254151760406 - 0.260612262421","0.253175041815 - 0.261588981012"
"425","0.2823831081390381","0.00376673910071","0.00188336955035","0.278368052825 - 0.286398163453","0.27715403597 - 0.287612180308"
"445","0.31049575805664065","0.00499609349891","0.00249804674945","0.305170305134 - 0.315821210979","0.303560068387 - 0.317431447727"
"465","0.33923020362854006","0.00536072892729","0.00268036446365","0.333516077274 - 0.344944329983","0.331788318833 - 0.346672088424"
"485","0.36940016746521","0.0013984691248","0.0006992345624","0.367909506514 - 0.370890828416","0.367458781087 - 0.371341553843"
